X,Y,Name,AssetType,City,FID,Field_1,Lat,Link,Long,Name2,Street
-122.017256014002,37.5907343164698,Union City,Station,Union City,27,Union City,37.590729,"<a target=""_blank"" href=""http://www.bart.gov/stations/ucty"">http://www.bart.gov/stations/ucty</a>",-122.017243,Union City,10 Union Square
-121.928077098302,37.6997506992207,West Dublin/Pleasanton,Station,Dublin,28,West Dublin/Pleasanton,37.699746,"<a target=""_blank"" href=""http://www.bart.gov/stations/wdub"">http://www.bart.gov/stations/wdub</a>",-121.928064,West Dublin/Pleasanton,6501 Golden Gate Drive
-122.386850499254,37.6001940991036,Millbrae,Station,Millbrae,29,Millbrae,37.600189,"<a target=""_blank"" href=""http://www.bart.gov/stations/mlbr"">http://www.bart.gov/stations/mlbr</a>",-122.386837,Millbrae,200 N Rollins Rd
-122.401174710598,37.7894495203929,Montgomery St,Station,San Francisco,30,Montgomery St,37.789445,"<a target=""_blank"" href=""http://www.bart.gov/stations/mont"">http://www.bart.gov/stations/mont</a>",-122.401162,Montgomery St,598 Market St
-121.899073968031,37.7016817848902,Dublin/Pleasanton,Station,Pleasanton,31,Dublin/Pleasanton,37.701677,"<a target=""_blank"" href=""http://www.bart.gov/stations/dubl"">http://www.bart.gov/stations/dubl</a>",-121.899061,Dublin/Pleasanton,5801 Owens Drive
-122.26522683402,37.7972929525564,Lake Merritt,Station,Oakland,32,Lake Merritt,37.797288,"<a target=""_blank"" href=""http://www.bart.gov/stations/lake"">http://www.bart.gov/stations/lake</a>",-122.265214,Lake Merritt,800 Madison Street
-122.055978395909,37.9284417959691,Pleasant Hill/Contra Costa Centre,Station,Walnut Creek,33,Pleasant Hill/Contra Costa Centre,37.928437,"<a target=""_blank"" href=""http://www.bart.gov/stations/phil"">http://www.bart.gov/stations/phil</a>",-122.055965,Pleasant Hill/Contra Costa Centre,1365 Treat Blvd
-122.267063488968,37.829083300728,MacArthur,Station,Oakland,34,MacArthur,37.829078,"<a target=""_blank"" href=""http://www.bart.gov/stations/mcar"">http://www.bart.gov/stations/mcar</a>",-122.26705,MacArthur,555 40th Street
-122.407017658827,37.7848708966278,Powell St,Station,San Francisco,35,Powell St,37.784866,"<a target=""_blank"" href=""http://www.bart.gov/stations/powl"">http://www.bart.gov/stations/powl</a>",-122.407004,Powell St,899 Market St
-122.352976551342,37.9367631254875,Richmond,Station,Richmond,36,Richmond,37.936758,"<a target=""_blank"" href=""http://www.bart.gov/stations/rich"">http://www.bart.gov/stations/rich</a>",-122.352963,Richmond,1700 Nevin Ave
-122.251314633044,37.8447393101815,Rockridge,Station,Oakland,37,Rockridge,37.844734,"<a target=""_blank"" href=""http://www.bart.gov/stations/rock"">http://www.bart.gov/stations/rock</a>",-122.251301,Rockridge,5660 College Avenue
-122.392414075207,37.6159976796269,San Francisco International Airport,Station,San Francisco International Airport,38,San Francisco International Airport,37.615993,"<a target=""_blank"" href=""http://www.bart.gov/stations/sfia"">http://www.bart.gov/stations/sfia</a>",-122.392401,San Francisco International Airport,497 North Link Rd Concourse H 3rd Level
-122.39690099434,37.7928539137256,Embarcadero,Station,San Francisco,39,Embarcadero,37.792849,"<a target=""_blank"" href=""http://www.bart.gov/stations/embr"">http://www.bart.gov/stations/embr</a>",-122.396888,Embarcadero,298 Market St
-121.943980096383,38.0189141970878,Pittsburg/Bay Point,Station,Bay Point,40,Pittsburg/Bay Point,38.018909,"<a target=""_blank"" href=""http://www.bart.gov/stations/pitt"">http://www.bart.gov/stations/pitt</a>",-121.943967,Pittsburg/Bay Point,1700 West Leland Road
-122.07560669317,37.6907479760973,Castro Valley,Station,Castro Valley,41,Castro Valley,37.690743,"<a target=""_blank"" href=""http://www.bart.gov/stations/cast"">http://www.bart.gov/stations/cast</a>",-122.075594,Castro Valley,3301 Norbridge Ave
-122.12464733479,37.8931856833766,Lafayette,Station,Lafayette,42,Lafayette,37.893181,"<a target=""_blank"" href=""http://www.bart.gov/stations/lafy"">http://www.bart.gov/stations/lafy</a>",-122.124634,Lafayette,3601 Deer Hill Road
-122.443977662761,37.6642105389004,South San Francisco,Station,South San Francisco,43,South San Francisco,37.664206,"<a target=""_blank"" href=""http://www.bart.gov/stations/ssan"">http://www.bart.gov/stations/ssan</a>",-122.443964,South San Francisco,1333 Mission Rd
-122.26865397324,37.8084932872478,19th St/Oakland,Station,Oakland,44,19th St/Oakland,37.808488,"<a target=""_blank"" href=""http://www.bart.gov/stations/19th"">http://www.bart.gov/stations/19th</a>",-122.268641,19th St/Oakland,1900 Broadway
-122.269993962748,37.852574650835,Ashby,Station,Berkeley,45,Ashby,37.85257,"<a target=""_blank"" href=""http://www.bart.gov/stations/ashb"">http://www.bart.gov/stations/ashb</a>",-122.269981,Ashby,3100 Adeline Street
-122.224179418194,37.7748944568355,Fruitvale,Station,Oakland,46,Fruitvale,37.77489,"<a target=""_blank"" href=""http://www.bart.gov/stations/ftvl"">http://www.bart.gov/stations/ftvl</a>",-122.224166,Fruitvale,3401 East 12th Street
-122.21244017124,37.7129718188202,Oakland International Airport,Station,Oakland,47,Oakland International Airport,37.712967,"<a target=""_blank"" href=""http://www.bart.gov/stations/oakl"">http://www.bart.gov/stations/oakl</a>",-122.212427,Oakland International Airport,4 Airport Drive
-121.939433028157,37.5023349701208,Warm Springs/South Fremont,Station,Fremont,48,Warm Springs/South Fremont,37.50233,"<a target=""_blank"" href=""http://www.bart.gov/stations/warm"">http://www.bart.gov/stations/warm</a>",-121.93942,Warm Springs/South Fremont,45193 Warm Springs Blvd
-122.196183018337,37.7523049650559,Coliseum/Airport Connector,Station,Oakland,49,Coliseum/Airport Connector,37.7523,"<a target=""_blank"" href=""http://www.bart.gov/stations/oakl"">http://www.bart.gov/stations/oakl</a>",-122.19617,Coliseum/Airport Connector,7200 San Leandro Street
-121.93281744729,38.0189366310124,eBART Transfer,Station,Pittsburg,50,eBART Transfer,38.018932,"<a target=""_blank"" href=""http://www.bart.gov/stations/pitt"">http://www.bart.gov/stations/pitt</a>",-121.932804,eBART Transfer,600 Canal Road
-121.780433364526,37.9953927291261,Antioch,Station,Antioch,51,Antioch,37.995388,"<a target=""_blank"" href=""http://www.bart.gov/stations/antc"">http://www.bart.gov/stations/antc</a>",-121.78042,Antioch,1600 Slatten Ranch Rd
-121.889470156125,38.0169460634226,Pittsburg Center,Station,Pittsburg,52,Pittsburg Center,38.016941,"<a target=""_blank"" href=""http://www.bart.gov/stations/pctr"">http://www.bart.gov/stations/pctr</a>",-121.889457,Pittsburg Center,2099 Railroad Ave
