X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-71.1743340001433,42.5466239999303,663200,NHRML-0152-01,,Wilmington,Wilmington - Commuter Rail - Track 1 (Outbound),1,Track 1 (Outbound),42.546624,-71.174334,CR-zone-3,,https://www.mbta.com/stops/place-NHRML-0152,,0,place-NHRML-0152,1,Wilmington,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-71.1743340001433,42.5466239999303,663201,NHRML-0152-02,,Wilmington,Wilmington - Commuter Rail - Track 2 (Boston),2,Track 2 (Boston),42.546624,-71.174334,CR-zone-3,,https://www.mbta.com/stops/place-NHRML-0152,,0,place-NHRML-0152,1,Wilmington,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-71.2809950005363,42.5932480002519,663203,NHRML-0218,,North Billerica,North Billerica - Commuter Rail,,Commuter Rail,42.593248,-71.280995,CR-zone-5,,https://www.mbta.com/stops/place-NHRML-0218,,0,place-NHRML-0218,1,Billerica,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-71.2809950005363,42.5932480002519,663204,NHRML-0218-01,,North Billerica,North Billerica - Commuter Rail - Track 1 (Outbound),1,Track 1 (Outbound),42.593248,-71.280995,CR-zone-5,,https://www.mbta.com/stops/place-NHRML-0218,,0,place-NHRML-0218,1,Billerica,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-71.2809950005363,42.5932480002519,663205,NHRML-0218-02,,North Billerica,North Billerica - Commuter Rail - Track 2 (Boston),2,Track 2 (Boston),42.593248,-71.280995,CR-zone-5,,https://www.mbta.com/stops/place-NHRML-0218,,0,place-NHRML-0218,1,Billerica,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-71.3145429994606,42.6353499997995,663207,NHRML-0254,,Lowell,Lowell - Commuter Rail,,Commuter Rail,42.63535,-71.314543,CR-zone-6,,https://www.mbta.com/stops/place-NHRML-0254,,0,place-NHRML-0254,1,Lowell,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-71.3145429994606,42.6353499997995,663208,NHRML-0254-03,,Lowell,Lowell - Commuter Rail - Track 3,3,Track 3,42.63535,-71.314543,CR-zone-6,,https://www.mbta.com/stops/place-NHRML-0254,,0,place-NHRML-0254,1,Lowell,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-71.3145429994606,42.6353499997995,663209,NHRML-0254-04,,Lowell,Lowell - Commuter Rail - Track 4,4,Track 4,42.63535,-71.314543,CR-zone-6,,https://www.mbta.com/stops/place-NHRML-0254,,0,place-NHRML-0254,1,Lowell,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-70.9533019994672,42.1550250002971,663211,PB-0158-S,,South Weymouth,South Weymouth - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),42.155025,-70.953302,CR-zone-3,,https://www.mbta.com/stops/place-PB-0158,,0,place-PB-0158,1,Weymouth,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
-70.9344050005647,42.1071559996957,663213,PB-0194-S,,Abington,Abington - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),42.107156,-70.934405,CR-zone-4,,https://www.mbta.com/stops/place-PB-0194,,0,place-PB-0194,1,Abington,,,2,,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00
